weighted_avg	ucf101	1	RGB + FLOW + AVR + LVR0	(1, 1, 1, 1)	0.9111816019032514
weighted_avg	hmdb51	1	RGB + FLOW + AVR + LVR0	(4, 3, 6, 5)	0.673202614379085
weighted_avg	ucf101	1	RGB + FLOW + AVR + LVR1	(1, 1, 1, 1)	0.922283901665345
weighted_avg	hmdb51	1	RGB + FLOW + AVR + LVR1	(3, 1, 7, 6)	0.634640522875817
weighted_avg	ucf101	1	RGB + FLOW + AVR + LVR2	(1, 1, 1, 1)	0.922548242135871
weighted_avg	hmdb51	1	RGB + FLOW + AVR + LVR2	(1, 1, 5, 8)	0.596078431372549
weighted_avg	ucf101	1	RGB + FLOW + LVR0 + LVR1	(1, 1, 1, 1)	0.9193761564895585
weighted_avg	hmdb51	1	RGB + FLOW + LVR0 + LVR1	(5, 4, 3, 4)	0.6692810457516339
weighted_avg	ucf101	1	RGB + FLOW + LVR0 + LVR2	(1, 1, 1, 1)	0.9193761564895585
weighted_avg	hmdb51	1	RGB + FLOW + LVR0 + LVR2	(1, 1, 1, 3)	0.6189542483660131
weighted_avg	ucf101	1	RGB + FLOW + LVR1 + LVR2	(1, 1, 1, 1)	0.9254559873116575
weighted_avg	hmdb51	1	RGB + FLOW + LVR1 + LVR2	(1, 2, 2, 5)	0.6189542483660131
weighted_avg	ucf101	1	RGB + AVR + LVR0 + LVR1	(1, 1, 1, 1)	0.9045730901401005
weighted_avg	hmdb51	1	RGB + AVR + LVR0 + LVR1	(3, 9, 6, 7)	0.6542483660130719
weighted_avg	ucf101	1	RGB + AVR + LVR0 + LVR2	(1, 1, 1, 1)	0.9029870473169442
weighted_avg	hmdb51	1	RGB + AVR + LVR0 + LVR2	(1, 4, 3, 5)	0.6379084967320261
weighted_avg	ucf101	1	RGB + AVR + LVR1 + LVR2	(1, 1, 1, 1)	0.9080095162569389
weighted_avg	hmdb51	1	RGB + AVR + LVR1 + LVR2	(1, 2, 2, 4)	0.626797385620915
weighted_avg	ucf101	1	RGB + LVR0 + LVR1 + LVR2	(1, 1, 1, 1)	0.8947924927306371
weighted_avg	hmdb51	1	RGB + LVR0 + LVR1 + LVR2	(2, 3, 3, 7)	0.611764705882353
weighted_avg	ucf101	1	FLOW + AVR + LVR0 + LVR1	(1, 1, 1, 1)	0.9035157282579963
weighted_avg	hmdb51	1	FLOW + AVR + LVR0 + LVR1	(1, 5, 2, 4)	0.6359477124183006
weighted_avg	ucf101	1	FLOW + AVR + LVR0 + LVR2	(1, 1, 1, 1)	0.901136664023262
weighted_avg	hmdb51	1	FLOW + AVR + LVR0 + LVR2	(1, 7, 4, 9)	0.6222222222222222
weighted_avg	ucf101	1	FLOW + AVR + LVR1 + LVR2	(1, 1, 1, 1)	0.9103885804916733
weighted_avg	hmdb51	1	FLOW + AVR + LVR1 + LVR2	(1, 4, 1, 9)	0.5784313725490197
weighted_avg	ucf101	1	FLOW + LVR0 + LVR1 + LVR2	(1, 1, 1, 1)	0.9098598995506212
weighted_avg	hmdb51	1	FLOW + LVR0 + LVR1 + LVR2	(6, 2, 3, 7)	0.6549019607843137
weighted_avg	ucf101	1	AVR + LVR0 + LVR1 + LVR2	(1, 1, 1, 1)	0.8895056833201163
weighted_avg	hmdb51	1	AVR + LVR0 + LVR1 + LVR2	(5, 3, 2, 6)	0.6385620915032679
weighted_avg	ucf101	1	RGB + FLOW + AVR + LVR0 + LVR1	(1, 1, 1, 1, 1)	0.9206978588421887
weighted_avg	hmdb51	1	RGB + FLOW + AVR + LVR0 + LVR1	(2, 1, 6, 4, 5)	0.6692810457516339
weighted_avg	ucf101	1	RGB + FLOW + AVR + LVR0 + LVR2	(1, 1, 1, 1, 1)	0.9199048374306106
weighted_avg	hmdb51	1	RGB + FLOW + AVR + LVR0 + LVR2	(1, 1, 7, 4, 9)	0.6339869281045751
weighted_avg	ucf101	1	RGB + FLOW + AVR + LVR1 + LVR2	(1, 1, 1, 1, 1)	0.9275707110758658
weighted_avg	hmdb51	1	RGB + FLOW + AVR + LVR1 + LVR2	(1, 1, 1, 2, 4)	0.6398692810457516
weighted_avg	ucf101	1	RGB + FLOW + LVR0 + LVR1 + LVR2	(1, 1, 1, 1, 1)	0.929156753899022
weighted_avg	hmdb51	1	RGB + FLOW + LVR0 + LVR1 + LVR2	(1, 4, 1, 2, 4)	0.6633986928104575
weighted_avg	ucf101	1	RGB + AVR + LVR0 + LVR1 + LVR2	(1, 1, 1, 1, 1)	0.9143536875495638
weighted_avg	hmdb51	1	RGB + AVR + LVR0 + LVR1 + LVR2	(1, 6, 4, 5, 8)	0.6594771241830065
weighted_avg	ucf101	1	FLOW + AVR + LVR0 + LVR1 + LVR2	(1, 1, 1, 1, 1)	0.9164684113137721
weighted_avg	hmdb51	1	FLOW + AVR + LVR0 + LVR1 + LVR2	(1, 6, 4, 4, 9)	0.6529411764705882
weighted_avg	ucf101	1	RGB + FLOW + AVR + LVR0 + LVR1 + LVR2	(1, 1, 1, 1, 1, 1)	0.9275707110758658
weighted_avg	hmdb51	1	RGB + FLOW + AVR + LVR0 + LVR1 + LVR2	(1, 1, 7, 4, 6, 9)	0.6633986928104575
choquet_fuzzy	ucf101	1	RGB + FLOW + AVR + LVR0 + LVR1	(1, 1, 1, 1, 1)	0.8971715569653714
choquet_fuzzy	hmdb51	1	RGB + FLOW + AVR + LVR0 + LVR1	(5, 1, 7, 1, 2)	0.6620915032679738
choquet_fuzzy	ucf101	1	RGB + FLOW	(3, 1)	0.9069521543748348
