path timestamp dataset modality split delta patience epoch train_prec val_prec
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 6 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.10 7 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.15 1 3 44.438 67.494
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.15 2 6 81.346 90.796
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.15 3 6 81.346 90.796
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.15 4 6 81.346 90.796
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.15 5 6 81.346 90.796
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.15 6 12 96.449 95.386
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.15 7 12 96.449 95.386
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.20 1 3 44.438 67.494
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.20 2 5 73.307 85.821
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.20 3 5 73.307 85.821
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.20 4 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.20 5 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.20 6 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597658758.1340418 ucf101 LVR1 1 0.20 7 9 93.046 93.843
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.00 1 9 58.721 59.926
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.00 2 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.00 3 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.00 4 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.00 5 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.00 6 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.00 7 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.05 1 9 58.721 59.926
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.05 2 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.05 3 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.05 4 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.05 5 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.05 6 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.05 7 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.10 1 6 40.986 53.333
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.10 2 8 53.907 57.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.10 3 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.10 4 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.10 5 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.10 6 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.10 7 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.15 1 6 40.986 53.333
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.15 2 8 53.907 57.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.15 3 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.15 4 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.15 5 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.15 6 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.15 7 11 67.179 63.922
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.20 1 6 40.986 53.333
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.20 2 8 53.907 57.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.20 3 8 53.907 57.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.20 4 8 53.907 57.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.20 5 8 53.907 57.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.20 6 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597648646.320714 hmdb51 LVR1 2 0.20 7 14 78.368 67.721
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.00 1 3 37.992 66.262
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.00 2 15 97.821 96.94
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.00 3 19 98.846 97.761
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.00 4 19 98.846 97.761
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.00 5 19 98.846 97.761
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.00 6 28 99.474 97.55
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.00 7 28 99.474 97.55
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.05 1 3 37.992 66.262
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.05 2 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.05 3 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.05 4 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.05 5 15 97.821 96.94
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.05 6 15 97.821 96.94
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.05 7 15 97.821 96.94
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.10 1 3 37.992 66.262
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.10 2 8 87.546 92.817
