Epoch: [25][50/1194]	Time 1.824 (1.892)	Loss 0.0377 (0.0942)	Prec@1 99.750 (99.175)
Epoch: [25][100/1194]	Time 1.824 (1.858)	Loss 0.1780 (0.0982)	Prec@1 97.750 (99.075)
Epoch: [25][150/1194]	Time 1.823 (1.846)	Loss 0.0426 (0.0913)	Prec@1 100.000 (99.233)
Epoch: [25][200/1194]	Time 1.824 (1.841)	Loss 0.0499 (0.0917)	Prec@1 99.500 (99.244)
Epoch: [25][250/1194]	Time 1.824 (1.837)	Loss 0.0950 (0.0883)	Prec@1 99.250 (99.290)
Epoch: [25][300/1194]	Time 1.834 (1.838)	Loss 0.0981 (0.0903)	Prec@1 98.750 (99.267)
Epoch: [25][350/1194]	Time 1.832 (1.839)	Loss 0.0989 (0.0909)	Prec@1 99.250 (99.257)
Epoch: [25][400/1194]	Time 1.847 (1.840)	Loss 0.0708 (0.0926)	Prec@1 99.500 (99.225)
Epoch: [25][450/1194]	Time 1.840 (1.840)	Loss 0.2785 (0.0939)	Prec@1 97.500 (99.225)
Epoch: [25][500/1194]	Time 1.849 (1.840)	Loss 0.0328 (0.0939)	Prec@1 100.000 (99.210)
Epoch: [25][550/1194]	Time 1.843 (1.840)	Loss 0.0669 (0.0947)	Prec@1 99.500 (99.191)
Epoch: [25][600/1194]	Time 1.848 (1.840)	Loss 0.0538 (0.0948)	Prec@1 100.000 (99.202)
Epoch: [25][650/1194]	Time 1.844 (1.840)	Loss 0.0464 (0.0946)	Prec@1 100.000 (99.208)
Epoch: [25][700/1194]	Time 1.830 (1.840)	Loss 0.0616 (0.0941)	Prec@1 99.750 (99.232)
Epoch: [25][750/1194]	Time 1.837 (1.839)	Loss 0.1298 (0.0943)	Prec@1 97.750 (99.225)
Epoch: [25][800/1194]	Time 1.837 (1.839)	Loss 0.1067 (0.0944)	Prec@1 98.500 (99.222)
Epoch: [25][850/1194]	Time 1.838 (1.839)	Loss 0.0697 (0.0943)	Prec@1 99.500 (99.229)
Epoch: [25][900/1194]	Time 1.855 (1.839)	Loss 0.1802 (0.0950)	Prec@1 98.250 (99.214)
Epoch: [25][950/1194]	Time 1.837 (1.839)	Loss 0.0687 (0.0952)	Prec@1 99.500 (99.209)
Epoch: [25][1000/1194]	Time 1.832 (1.839)	Loss 0.0683 (0.0956)	Prec@1 100.000 (99.206)
Epoch: [25][1050/1194]	Time 1.851 (1.839)	Loss 0.1862 (0.0962)	Prec@1 98.250 (99.188)
Epoch: [25][1100/1194]	Time 1.838 (1.839)	Loss 0.0952 (0.0956)	Prec@1 99.250 (99.191)
Epoch: [25][1150/1194]	Time 1.838 (1.839)	Loss 0.0947 (0.0950)	Prec@1 99.500 (99.202)
