Epoch: [194][50/1194]	Time 1.836 (1.883)	Loss 0.0062 (0.0137)	Prec@1 100.000 (99.900)
Epoch: [194][100/1194]	Time 1.829 (1.854)	Loss 0.0134 (0.0125)	Prec@1 100.000 (99.912)
Epoch: [194][150/1194]	Time 1.828 (1.844)	Loss 0.0107 (0.0111)	Prec@1 100.000 (99.942)
Epoch: [194][200/1194]	Time 1.829 (1.841)	Loss 0.0118 (0.0123)	Prec@1 100.000 (99.950)
Epoch: [194][250/1194]	Time 1.829 (1.839)	Loss 0.0119 (0.0119)	Prec@1 100.000 (99.960)
Epoch: [194][300/1194]	Time 1.836 (1.837)	Loss 0.0067 (0.0115)	Prec@1 100.000 (99.967)
Epoch: [194][350/1194]	Time 1.825 (1.835)	Loss 0.0110 (0.0111)	Prec@1 100.000 (99.971)
Epoch: [194][400/1194]	Time 1.827 (1.834)	Loss 0.0047 (0.0109)	Prec@1 100.000 (99.975)
Epoch: [194][450/1194]	Time 1.831 (1.834)	Loss 0.0136 (0.0109)	Prec@1 100.000 (99.975)
Epoch: [194][500/1194]	Time 1.842 (1.834)	Loss 0.0036 (0.0108)	Prec@1 100.000 (99.978)
Epoch: [194][550/1194]	Time 1.824 (1.833)	Loss 0.0073 (0.0115)	Prec@1 100.000 (99.973)
Epoch: [194][600/1194]	Time 1.840 (1.833)	Loss 0.0143 (0.0116)	Prec@1 100.000 (99.973)
Epoch: [194][650/1194]	Time 1.821 (1.833)	Loss 0.0111 (0.0116)	Prec@1 100.000 (99.971)
Epoch: [194][700/1194]	Time 1.824 (1.833)	Loss 0.0102 (0.0119)	Prec@1 100.000 (99.964)
Epoch: [194][750/1194]	Time 1.845 (1.833)	Loss 0.0051 (0.0118)	Prec@1 100.000 (99.965)
Epoch: [194][800/1194]	Time 1.823 (1.833)	Loss 0.0069 (0.0116)	Prec@1 100.000 (99.966)
Epoch: [194][850/1194]	Time 1.855 (1.834)	Loss 0.0072 (0.0114)	Prec@1 100.000 (99.968)
Epoch: [194][900/1194]	Time 1.841 (1.833)	Loss 0.0113 (0.0114)	Prec@1 100.000 (99.969)
Epoch: [194][950/1194]	Time 1.829 (1.833)	Loss 0.0074 (0.0112)	Prec@1 100.000 (99.971)
Epoch: [194][1000/1194]	Time 1.832 (1.833)	Loss 0.0054 (0.0111)	Prec@1 100.000 (99.972)
Epoch: [194][1050/1194]	Time 1.842 (1.833)	Loss 0.0055 (0.0111)	Prec@1 100.000 (99.973)
Epoch: [194][1100/1194]	Time 1.814 (1.833)	Loss 0.0084 (0.0111)	Prec@1 100.000 (99.973)
Epoch: [194][1150/1194]	Time 1.826 (1.833)	Loss 0.0217 (0.0112)	Prec@1 100.000 (99.974)
