Epoch: [122][50/1194]	Time 1.825 (1.894)	Loss 0.0144 (0.0114)	Prec@1 100.000 (100.000)
Epoch: [122][100/1194]	Time 1.830 (1.863)	Loss 0.0070 (0.0107)	Prec@1 100.000 (99.987)
Epoch: [122][150/1194]	Time 1.837 (1.853)	Loss 0.0122 (0.0111)	Prec@1 100.000 (99.975)
Epoch: [122][200/1194]	Time 1.834 (1.850)	Loss 0.0252 (0.0109)	Prec@1 99.750 (99.969)
Epoch: [122][250/1194]	Time 1.836 (1.847)	Loss 0.0084 (0.0105)	Prec@1 100.000 (99.970)
Epoch: [122][300/1194]	Time 1.824 (1.844)	Loss 0.0055 (0.0110)	Prec@1 100.000 (99.967)
Epoch: [122][350/1194]	Time 1.840 (1.843)	Loss 0.0079 (0.0110)	Prec@1 100.000 (99.971)
Epoch: [122][400/1194]	Time 1.823 (1.842)	Loss 0.0078 (0.0113)	Prec@1 100.000 (99.969)
Epoch: [122][450/1194]	Time 1.861 (1.841)	Loss 0.0163 (0.0113)	Prec@1 100.000 (99.972)
Epoch: [122][500/1194]	Time 1.823 (1.840)	Loss 0.0123 (0.0111)	Prec@1 100.000 (99.975)
Epoch: [122][550/1194]	Time 1.838 (1.840)	Loss 0.0078 (0.0110)	Prec@1 100.000 (99.977)
Epoch: [122][600/1194]	Time 1.825 (1.840)	Loss 0.0057 (0.0110)	Prec@1 100.000 (99.979)
Epoch: [122][650/1194]	Time 1.839 (1.840)	Loss 0.0164 (0.0123)	Prec@1 100.000 (99.948)
Epoch: [122][700/1194]	Time 1.836 (1.839)	Loss 0.0174 (0.0124)	Prec@1 100.000 (99.952)
Epoch: [122][750/1194]	Time 1.835 (1.839)	Loss 0.0059 (0.0123)	Prec@1 100.000 (99.953)
Epoch: [122][800/1194]	Time 1.835 (1.838)	Loss 0.0066 (0.0122)	Prec@1 100.000 (99.956)
Epoch: [122][850/1194]	Time 1.859 (1.838)	Loss 0.0095 (0.0121)	Prec@1 100.000 (99.959)
Epoch: [122][900/1194]	Time 1.839 (1.838)	Loss 0.0294 (0.0122)	Prec@1 99.750 (99.956)
Epoch: [122][950/1194]	Time 1.814 (1.838)	Loss 0.0103 (0.0125)	Prec@1 100.000 (99.954)
Epoch: [122][1000/1194]	Time 1.836 (1.838)	Loss 0.0061 (0.0123)	Prec@1 100.000 (99.956)
Epoch: [122][1050/1194]	Time 1.836 (1.837)	Loss 0.0112 (0.0123)	Prec@1 100.000 (99.958)
Epoch: [122][1100/1194]	Time 1.827 (1.837)	Loss 0.0077 (0.0127)	Prec@1 100.000 (99.951)
Epoch: [122][1150/1194]	Time 1.816 (1.837)	Loss 0.0127 (0.0126)	Prec@1 100.000 (99.953)
