Epoch: [132][50/1194]	Time 1.855 (1.894)	Loss 0.0159 (0.0125)	Prec@1 100.000 (100.000)
Epoch: [132][100/1194]	Time 1.831 (1.862)	Loss 0.0069 (0.0136)	Prec@1 100.000 (99.975)
Epoch: [132][150/1194]	Time 1.832 (1.851)	Loss 0.0181 (0.0133)	Prec@1 100.000 (99.983)
Epoch: [132][200/1194]	Time 1.834 (1.846)	Loss 0.0226 (0.0134)	Prec@1 100.000 (99.987)
Epoch: [132][250/1194]	Time 1.841 (1.843)	Loss 0.0124 (0.0133)	Prec@1 100.000 (99.985)
Epoch: [132][300/1194]	Time 1.826 (1.840)	Loss 0.0134 (0.0135)	Prec@1 100.000 (99.983)
Epoch: [132][350/1194]	Time 1.819 (1.838)	Loss 0.0149 (0.0134)	Prec@1 100.000 (99.979)
Epoch: [132][400/1194]	Time 1.830 (1.837)	Loss 0.0096 (0.0132)	Prec@1 100.000 (99.981)
Epoch: [132][450/1194]	Time 1.831 (1.836)	Loss 0.0059 (0.0131)	Prec@1 100.000 (99.983)
Epoch: [132][500/1194]	Time 1.824 (1.835)	Loss 0.0105 (0.0129)	Prec@1 100.000 (99.983)
Epoch: [132][550/1194]	Time 1.833 (1.834)	Loss 0.0065 (0.0130)	Prec@1 100.000 (99.980)
Epoch: [132][600/1194]	Time 1.851 (1.834)	Loss 0.0104 (0.0129)	Prec@1 100.000 (99.977)
Epoch: [132][650/1194]	Time 1.836 (1.834)	Loss 0.0494 (0.0132)	Prec@1 99.750 (99.975)
Epoch: [132][700/1194]	Time 1.820 (1.833)	Loss 0.0109 (0.0132)	Prec@1 100.000 (99.977)
Epoch: [132][750/1194]	Time 1.829 (1.833)	Loss 0.0178 (0.0138)	Prec@1 100.000 (99.960)
Epoch: [132][800/1194]	Time 1.813 (1.833)	Loss 0.0054 (0.0135)	Prec@1 100.000 (99.961)
Epoch: [132][850/1194]	Time 1.834 (1.833)	Loss 0.0037 (0.0133)	Prec@1 100.000 (99.963)
Epoch: [132][900/1194]	Time 1.831 (1.833)	Loss 0.0264 (0.0132)	Prec@1 99.750 (99.963)
Epoch: [132][950/1194]	Time 1.831 (1.833)	Loss 0.0075 (0.0133)	Prec@1 100.000 (99.963)
Epoch: [132][1000/1194]	Time 1.828 (1.833)	Loss 0.0172 (0.0132)	Prec@1 100.000 (99.965)
Epoch: [132][1050/1194]	Time 1.842 (1.833)	Loss 0.0117 (0.0136)	Prec@1 100.000 (99.961)
Epoch: [132][1100/1194]	Time 1.830 (1.833)	Loss 0.0048 (0.0145)	Prec@1 100.000 (99.950)
Epoch: [132][1150/1194]	Time 1.827 (1.834)	Loss 0.0146 (0.0144)	Prec@1 100.000 (99.951)
