Epoch: [187][50/1194]	Time 1.827 (1.876)	Loss 0.0188 (0.0125)	Prec@1 100.000 (99.975)
Epoch: [187][100/1194]	Time 1.827 (1.853)	Loss 0.0069 (0.0121)	Prec@1 100.000 (99.987)
Epoch: [187][150/1194]	Time 1.829 (1.847)	Loss 0.0084 (0.0112)	Prec@1 100.000 (99.992)
Epoch: [187][200/1194]	Time 1.828 (1.843)	Loss 0.0070 (0.0107)	Prec@1 100.000 (99.994)
Epoch: [187][250/1194]	Time 1.827 (1.840)	Loss 0.0101 (0.0104)	Prec@1 100.000 (99.990)
Epoch: [187][300/1194]	Time 1.840 (1.839)	Loss 0.0143 (0.0119)	Prec@1 100.000 (99.963)
Epoch: [187][350/1194]	Time 1.849 (1.838)	Loss 0.0126 (0.0120)	Prec@1 100.000 (99.961)
Epoch: [187][400/1194]	Time 1.832 (1.837)	Loss 0.0190 (0.0118)	Prec@1 100.000 (99.966)
Epoch: [187][450/1194]	Time 1.831 (1.837)	Loss 0.0056 (0.0120)	Prec@1 100.000 (99.964)
Epoch: [187][500/1194]	Time 1.852 (1.837)	Loss 0.0072 (0.0120)	Prec@1 100.000 (99.963)
Epoch: [187][550/1194]	Time 1.853 (1.836)	Loss 0.0123 (0.0125)	Prec@1 100.000 (99.955)
Epoch: [187][600/1194]	Time 1.828 (1.836)	Loss 0.0140 (0.0123)	Prec@1 100.000 (99.956)
Epoch: [187][650/1194]	Time 1.828 (1.836)	Loss 0.0119 (0.0122)	Prec@1 100.000 (99.960)
Epoch: [187][700/1194]	Time 1.836 (1.836)	Loss 0.0163 (0.0124)	Prec@1 100.000 (99.959)
Epoch: [187][750/1194]	Time 1.822 (1.836)	Loss 0.0079 (0.0126)	Prec@1 100.000 (99.957)
Epoch: [187][800/1194]	Time 1.835 (1.836)	Loss 0.0068 (0.0124)	Prec@1 100.000 (99.958)
Epoch: [187][850/1194]	Time 1.828 (1.835)	Loss 0.0085 (0.0124)	Prec@1 100.000 (99.959)
Epoch: [187][900/1194]	Time 1.835 (1.835)	Loss 0.0096 (0.0123)	Prec@1 100.000 (99.960)
Epoch: [187][950/1194]	Time 1.821 (1.835)	Loss 0.0054 (0.0124)	Prec@1 100.000 (99.959)
Epoch: [187][1000/1194]	Time 1.829 (1.834)	Loss 0.0082 (0.0122)	Prec@1 100.000 (99.961)
Epoch: [187][1050/1194]	Time 1.824 (1.834)	Loss 0.0093 (0.0121)	Prec@1 100.000 (99.963)
Epoch: [187][1100/1194]	Time 1.821 (1.834)	Loss 0.0052 (0.0120)	Prec@1 100.000 (99.965)
Epoch: [187][1150/1194]	Time 1.860 (1.834)	Loss 0.0113 (0.0121)	Prec@1 100.000 (99.964)
