Epoch: [20][50/764]	Time 2.887 (3.270)	Loss 0.3022 (0.2370)	Prec@1 98.400 (98.000)
Epoch: [20][100/764]	Time 1.735 (2.997)	Loss 0.1911 (0.2402)	Prec@1 99.200 (98.080)
Epoch: [20][150/764]	Time 2.177 (2.991)	Loss 0.2330 (0.2433)	Prec@1 98.400 (98.133)
Epoch: [20][200/764]	Time 2.836 (3.031)	Loss 0.2367 (0.2538)	Prec@1 98.400 (97.820)
Epoch: [20][250/764]	Time 3.264 (3.032)	Loss 0.1659 (0.2581)	Prec@1 98.400 (97.696)
Epoch: [20][300/764]	Time 2.758 (3.008)	Loss 0.3401 (0.2654)	Prec@1 96.800 (97.520)
Epoch: [20][350/764]	Time 3.617 (2.986)	Loss 0.2892 (0.2630)	Prec@1 96.000 (97.463)
Epoch: [20][400/764]	Time 2.195 (2.967)	Loss 0.1988 (0.2623)	Prec@1 98.400 (97.460)
Epoch: [20][450/764]	Time 7.107 (2.965)	Loss 0.3507 (0.2628)	Prec@1 95.200 (97.476)
Epoch: [20][500/764]	Time 2.158 (2.917)	Loss 0.2146 (0.2587)	Prec@1 97.600 (97.544)
Epoch: [20][550/764]	Time 2.666 (2.919)	Loss 0.2106 (0.2566)	Prec@1 98.400 (97.549)
Epoch: [20][600/764]	Time 2.223 (2.870)	Loss 0.3418 (0.2587)	Prec@1 97.600 (97.507)
Epoch: [20][650/764]	Time 2.173 (2.851)	Loss 0.1961 (0.2572)	Prec@1 98.400 (97.520)
Epoch: [20][700/764]	Time 2.432 (2.834)	Loss 0.3236 (0.2558)	Prec@1 96.800 (97.537)
Epoch: [20][750/764]	Time 1.908 (2.806)	Loss 0.2876 (0.2564)	Prec@1 97.600 (97.520)
