Epoch: [231][50/764]	Time 0.681 (0.752)	Loss 0.0261 (0.0185)	Prec@1 99.200 (99.840)
Epoch: [231][100/764]	Time 0.677 (0.838)	Loss 0.0244 (0.0217)	Prec@1 99.200 (99.760)
Epoch: [231][150/764]	Time 0.673 (0.786)	Loss 0.0219 (0.0239)	Prec@1 100.000 (99.787)
Epoch: [231][200/764]	Time 0.683 (0.759)	Loss 0.0139 (0.0228)	Prec@1 100.000 (99.820)
Epoch: [231][250/764]	Time 0.689 (0.744)	Loss 0.0145 (0.0229)	Prec@1 100.000 (99.824)
Epoch: [231][300/764]	Time 0.681 (0.733)	Loss 0.0400 (0.0225)	Prec@1 100.000 (99.827)
Epoch: [231][350/764]	Time 0.680 (0.726)	Loss 0.0310 (0.0227)	Prec@1 99.200 (99.829)
Epoch: [231][400/764]	Time 0.681 (0.741)	Loss 0.0291 (0.0224)	Prec@1 100.000 (99.830)
Epoch: [231][450/764]	Time 0.677 (0.734)	Loss 0.0178 (0.0233)	Prec@1 100.000 (99.822)
Epoch: [231][500/764]	Time 0.682 (0.729)	Loss 0.0139 (0.0230)	Prec@1 100.000 (99.832)
Epoch: [231][550/764]	Time 0.692 (0.725)	Loss 0.0135 (0.0229)	Prec@1 100.000 (99.840)
Epoch: [231][600/764]	Time 0.676 (0.728)	Loss 0.0107 (0.0230)	Prec@1 100.000 (99.833)
Epoch: [231][650/764]	Time 0.681 (0.724)	Loss 0.0145 (0.0227)	Prec@1 100.000 (99.846)
Epoch: [231][700/764]	Time 0.680 (0.724)	Loss 0.0454 (0.0232)	Prec@1 99.200 (99.829)
Epoch: [231][750/764]	Time 0.703 (0.723)	Loss 0.0504 (0.0235)	Prec@1 99.200 (99.824)
