Epoch: [18][50/764]	Time 2.453 (2.982)	Loss 0.3352 (0.3017)	Prec@1 96.800 (97.120)
Epoch: [18][100/764]	Time 2.973 (2.777)	Loss 0.1670 (0.2945)	Prec@1 100.000 (97.280)
Epoch: [18][150/764]	Time 2.282 (2.755)	Loss 0.1745 (0.2872)	Prec@1 100.000 (97.307)
Epoch: [18][200/764]	Time 1.449 (2.791)	Loss 0.1647 (0.2965)	Prec@1 100.000 (97.280)
Epoch: [18][250/764]	Time 2.771 (2.760)	Loss 0.3964 (0.2965)	Prec@1 94.400 (97.216)
Epoch: [18][300/764]	Time 2.194 (2.819)	Loss 0.2851 (0.2924)	Prec@1 96.800 (97.293)
Epoch: [18][350/764]	Time 3.371 (2.840)	Loss 0.1958 (0.2914)	Prec@1 100.000 (97.314)
Epoch: [18][400/764]	Time 1.989 (2.846)	Loss 0.4170 (0.2918)	Prec@1 96.000 (97.360)
Epoch: [18][450/764]	Time 2.815 (2.839)	Loss 0.2509 (0.2923)	Prec@1 96.000 (97.324)
Epoch: [18][500/764]	Time 2.171 (2.852)	Loss 0.3564 (0.2889)	Prec@1 97.600 (97.416)
Epoch: [18][550/764]	Time 3.858 (2.879)	Loss 0.4060 (0.2930)	Prec@1 95.200 (97.367)
Epoch: [18][600/764]	Time 2.316 (2.869)	Loss 0.4099 (0.2931)	Prec@1 94.400 (97.320)
Epoch: [18][650/764]	Time 4.182 (2.871)	Loss 0.1893 (0.2904)	Prec@1 98.400 (97.378)
Epoch: [18][700/764]	Time 2.318 (2.898)	Loss 0.2333 (0.2896)	Prec@1 97.600 (97.366)
Epoch: [18][750/764]	Time 3.762 (2.911)	Loss 0.2597 (0.2899)	Prec@1 98.400 (97.344)
