Epoch: [50][50/764]	Time 2.398 (2.963)	Loss 0.0780 (0.0918)	Prec@1 99.200 (99.040)
Epoch: [50][100/764]	Time 1.877 (2.455)	Loss 0.0506 (0.0805)	Prec@1 100.000 (99.120)
Epoch: [50][150/764]	Time 5.938 (2.842)	Loss 0.1429 (0.0898)	Prec@1 97.600 (98.880)
Epoch: [50][200/764]	Time 1.896 (2.696)	Loss 0.0655 (0.0863)	Prec@1 98.400 (98.900)
Epoch: [50][250/764]	Time 2.244 (2.785)	Loss 0.0369 (0.0841)	Prec@1 100.000 (98.944)
Epoch: [50][300/764]	Time 2.070 (2.814)	Loss 0.0428 (0.0811)	Prec@1 99.200 (99.053)
Epoch: [50][350/764]	Time 1.888 (2.767)	Loss 0.1414 (0.0809)	Prec@1 97.600 (99.097)
Epoch: [50][400/764]	Time 2.828 (2.826)	Loss 0.0663 (0.0814)	Prec@1 100.000 (99.080)
Epoch: [50][450/764]	Time 3.260 (2.769)	Loss 0.1190 (0.0811)	Prec@1 96.800 (99.093)
Epoch: [50][500/764]	Time 2.448 (2.824)	Loss 0.2527 (0.0815)	Prec@1 97.600 (99.096)
Epoch: [50][550/764]	Time 2.440 (2.856)	Loss 0.1813 (0.0807)	Prec@1 97.600 (99.127)
Epoch: [50][600/764]	Time 2.160 (2.836)	Loss 0.1911 (0.0806)	Prec@1 98.400 (99.153)
Epoch: [50][650/764]	Time 2.101 (2.858)	Loss 0.0785 (0.0801)	Prec@1 98.400 (99.157)
Epoch: [50][700/764]	Time 5.173 (2.851)	Loss 0.0449 (0.0795)	Prec@1 100.000 (99.160)
Epoch: [50][750/764]	Time 2.477 (2.809)	Loss 0.0345 (0.0804)	Prec@1 100.000 (99.147)
