Epoch: [174][50/764]	Time 1.218 (1.601)	Loss 0.0364 (0.0270)	Prec@1 100.000 (99.920)
Epoch: [174][100/764]	Time 1.271 (1.429)	Loss 0.0164 (0.0250)	Prec@1 100.000 (99.800)
Epoch: [174][150/764]	Time 1.518 (1.415)	Loss 0.0323 (0.0256)	Prec@1 100.000 (99.813)
Epoch: [174][200/764]	Time 1.501 (1.473)	Loss 0.0195 (0.0253)	Prec@1 100.000 (99.840)
Epoch: [174][250/764]	Time 0.956 (1.435)	Loss 0.0180 (0.0257)	Prec@1 100.000 (99.760)
Epoch: [174][300/764]	Time 3.365 (1.458)	Loss 0.0231 (0.0285)	Prec@1 100.000 (99.720)
Epoch: [174][350/764]	Time 1.447 (1.481)	Loss 0.0439 (0.0295)	Prec@1 99.200 (99.703)
Epoch: [174][400/764]	Time 2.304 (1.503)	Loss 0.0163 (0.0290)	Prec@1 100.000 (99.730)
Epoch: [174][450/764]	Time 1.242 (1.502)	Loss 0.0131 (0.0295)	Prec@1 100.000 (99.733)
Epoch: [174][500/764]	Time 2.045 (1.517)	Loss 0.0444 (0.0289)	Prec@1 99.200 (99.736)
Epoch: [174][550/764]	Time 3.944 (1.540)	Loss 0.0544 (0.0299)	Prec@1 99.200 (99.724)
Epoch: [174][600/764]	Time 1.222 (1.559)	Loss 0.0134 (0.0299)	Prec@1 100.000 (99.733)
Epoch: [174][650/764]	Time 1.380 (1.548)	Loss 0.0287 (0.0291)	Prec@1 99.200 (99.742)
Epoch: [174][700/764]	Time 1.648 (1.562)	Loss 0.0376 (0.0291)	Prec@1 99.200 (99.737)
Epoch: [174][750/764]	Time 1.550 (1.555)	Loss 0.0126 (0.0288)	Prec@1 100.000 (99.744)
