Epoch: [193][50/764]	Time 0.863 (1.143)	Loss 0.0162 (0.0278)	Prec@1 100.000 (99.600)
Epoch: [193][100/764]	Time 0.672 (1.219)	Loss 0.0088 (0.0316)	Prec@1 100.000 (99.640)
Epoch: [193][150/764]	Time 0.853 (1.188)	Loss 0.0104 (0.0315)	Prec@1 100.000 (99.653)
Epoch: [193][200/764]	Time 1.227 (1.150)	Loss 0.0148 (0.0330)	Prec@1 100.000 (99.660)
Epoch: [193][250/764]	Time 0.878 (1.166)	Loss 0.0488 (0.0322)	Prec@1 99.200 (99.680)
Epoch: [193][300/764]	Time 1.192 (1.151)	Loss 0.0119 (0.0295)	Prec@1 100.000 (99.733)
Epoch: [193][350/764]	Time 1.073 (1.146)	Loss 0.0425 (0.0283)	Prec@1 100.000 (99.760)
Epoch: [193][400/764]	Time 0.820 (1.165)	Loss 0.0137 (0.0273)	Prec@1 100.000 (99.760)
Epoch: [193][450/764]	Time 0.760 (1.156)	Loss 0.0585 (0.0267)	Prec@1 99.200 (99.769)
Epoch: [193][500/764]	Time 0.998 (1.177)	Loss 0.0357 (0.0258)	Prec@1 100.000 (99.792)
Epoch: [193][550/764]	Time 1.041 (1.190)	Loss 0.0280 (0.0263)	Prec@1 99.200 (99.789)
Epoch: [193][600/764]	Time 0.990 (1.180)	Loss 0.0128 (0.0257)	Prec@1 100.000 (99.800)
Epoch: [193][650/764]	Time 1.070 (1.181)	Loss 0.0185 (0.0256)	Prec@1 100.000 (99.791)
Epoch: [193][700/764]	Time 1.063 (1.179)	Loss 0.0707 (0.0256)	Prec@1 98.400 (99.783)
Epoch: [193][750/764]	Time 0.852 (1.180)	Loss 0.0179 (0.0255)	Prec@1 100.000 (99.787)
