Epoch: [190][50/764]	Time 0.676 (1.195)	Loss 0.0136 (0.0204)	Prec@1 100.000 (99.760)
Epoch: [190][100/764]	Time 1.527 (1.198)	Loss 0.0563 (0.0213)	Prec@1 98.400 (99.760)
Epoch: [190][150/764]	Time 1.636 (1.173)	Loss 0.0256 (0.0238)	Prec@1 100.000 (99.733)
Epoch: [190][200/764]	Time 1.008 (1.168)	Loss 0.0161 (0.0238)	Prec@1 100.000 (99.740)
Epoch: [190][250/764]	Time 1.205 (1.167)	Loss 0.0155 (0.0228)	Prec@1 100.000 (99.792)
Epoch: [190][300/764]	Time 1.514 (1.181)	Loss 0.0412 (0.0229)	Prec@1 99.200 (99.800)
Epoch: [190][350/764]	Time 1.315 (1.182)	Loss 0.0189 (0.0232)	Prec@1 100.000 (99.794)
Epoch: [190][400/764]	Time 1.043 (1.180)	Loss 0.0681 (0.0248)	Prec@1 99.200 (99.770)
Epoch: [190][450/764]	Time 1.016 (1.191)	Loss 0.0199 (0.0242)	Prec@1 100.000 (99.796)
Epoch: [190][500/764]	Time 0.922 (1.188)	Loss 0.0228 (0.0243)	Prec@1 100.000 (99.792)
Epoch: [190][550/764]	Time 1.188 (1.192)	Loss 0.0170 (0.0246)	Prec@1 100.000 (99.789)
Epoch: [190][600/764]	Time 1.141 (1.202)	Loss 0.0331 (0.0240)	Prec@1 99.200 (99.800)
Epoch: [190][650/764]	Time 1.571 (1.197)	Loss 0.0242 (0.0245)	Prec@1 100.000 (99.785)
Epoch: [190][700/764]	Time 0.786 (1.193)	Loss 0.0229 (0.0247)	Prec@1 100.000 (99.783)
Epoch: [190][750/764]	Time 1.150 (1.195)	Loss 0.0134 (0.0243)	Prec@1 100.000 (99.792)
