Epoch: [100][50/764]	Time 1.569 (1.991)	Loss 0.0459 (0.0383)	Prec@1 98.400 (99.520)
Epoch: [100][100/764]	Time 1.213 (1.768)	Loss 0.0904 (0.0369)	Prec@1 99.200 (99.640)
Epoch: [100][150/764]	Time 1.372 (1.820)	Loss 0.0474 (0.0438)	Prec@1 99.200 (99.520)
Epoch: [100][200/764]	Time 1.434 (1.775)	Loss 0.0284 (0.0433)	Prec@1 99.200 (99.520)
Epoch: [100][250/764]	Time 1.549 (1.827)	Loss 0.0161 (0.0396)	Prec@1 100.000 (99.600)
Epoch: [100][300/764]	Time 1.399 (1.764)	Loss 0.0138 (0.0371)	Prec@1 100.000 (99.640)
Epoch: [100][350/764]	Time 1.896 (1.805)	Loss 0.0327 (0.0382)	Prec@1 99.200 (99.589)
Epoch: [100][400/764]	Time 4.088 (1.824)	Loss 0.0378 (0.0367)	Prec@1 100.000 (99.620)
Epoch: [100][450/764]	Time 1.915 (1.835)	Loss 0.0381 (0.0356)	Prec@1 99.200 (99.636)
Epoch: [100][500/764]	Time 1.514 (1.823)	Loss 0.0237 (0.0348)	Prec@1 100.000 (99.640)
Epoch: [100][550/764]	Time 1.606 (1.852)	Loss 0.0496 (0.0348)	Prec@1 99.200 (99.651)
Epoch: [100][600/764]	Time 4.550 (1.852)	Loss 0.0374 (0.0348)	Prec@1 99.200 (99.647)
Epoch: [100][650/764]	Time 1.635 (1.837)	Loss 0.0174 (0.0348)	Prec@1 100.000 (99.649)
Epoch: [100][700/764]	Time 1.428 (1.813)	Loss 0.0217 (0.0346)	Prec@1 100.000 (99.640)
Epoch: [100][750/764]	Time 1.109 (1.834)	Loss 0.0208 (0.0346)	Prec@1 100.000 (99.637)
