Epoch: [32][50/764]	Time 1.521 (1.858)	Loss 0.0664 (0.1287)	Prec@1 100.000 (98.560)
Epoch: [32][100/764]	Time 1.910 (1.817)	Loss 0.1205 (0.1302)	Prec@1 100.000 (98.600)
Epoch: [32][150/764]	Time 2.926 (1.855)	Loss 0.1752 (0.1432)	Prec@1 98.400 (98.427)
Epoch: [32][200/764]	Time 1.957 (1.958)	Loss 0.1644 (0.1409)	Prec@1 98.400 (98.520)
Epoch: [32][250/764]	Time 1.461 (1.937)	Loss 0.1005 (0.1385)	Prec@1 100.000 (98.624)
Epoch: [32][300/764]	Time 1.389 (1.903)	Loss 0.0933 (0.1383)	Prec@1 100.000 (98.680)
Epoch: [32][350/764]	Time 1.311 (1.894)	Loss 0.1004 (0.1384)	Prec@1 100.000 (98.720)
Epoch: [32][400/764]	Time 1.497 (1.899)	Loss 0.1701 (0.1360)	Prec@1 99.200 (98.740)
Epoch: [32][450/764]	Time 2.292 (1.902)	Loss 0.0930 (0.1347)	Prec@1 98.400 (98.764)
Epoch: [32][500/764]	Time 2.010 (1.924)	Loss 0.0864 (0.1327)	Prec@1 100.000 (98.816)
Epoch: [32][550/764]	Time 1.561 (1.915)	Loss 0.0695 (0.1330)	Prec@1 100.000 (98.800)
Epoch: [32][600/764]	Time 2.635 (1.925)	Loss 0.1568 (0.1315)	Prec@1 99.200 (98.813)
Epoch: [32][650/764]	Time 1.478 (1.911)	Loss 0.1281 (0.1331)	Prec@1 98.400 (98.769)
Epoch: [32][700/764]	Time 1.964 (1.899)	Loss 0.1110 (0.1333)	Prec@1 99.200 (98.749)
Epoch: [32][750/764]	Time 2.173 (1.892)	Loss 0.1401 (0.1325)	Prec@1 100.000 (98.752)
