Epoch: [167][50/764]	Time 1.076 (1.431)	Loss 0.0194 (0.0310)	Prec@1 99.200 (99.520)
Epoch: [167][100/764]	Time 0.854 (1.379)	Loss 0.0200 (0.0274)	Prec@1 99.200 (99.680)
Epoch: [167][150/764]	Time 0.991 (1.264)	Loss 0.0176 (0.0263)	Prec@1 100.000 (99.680)
Epoch: [167][200/764]	Time 1.186 (1.202)	Loss 0.1046 (0.0297)	Prec@1 98.400 (99.660)
Epoch: [167][250/764]	Time 0.875 (1.176)	Loss 0.0402 (0.0299)	Prec@1 99.200 (99.632)
Epoch: [167][300/764]	Time 0.978 (1.179)	Loss 0.0186 (0.0279)	Prec@1 100.000 (99.680)
Epoch: [167][350/764]	Time 1.526 (1.206)	Loss 0.0225 (0.0277)	Prec@1 100.000 (99.703)
Epoch: [167][400/764]	Time 1.155 (1.252)	Loss 0.0152 (0.0274)	Prec@1 100.000 (99.710)
Epoch: [167][450/764]	Time 1.559 (1.269)	Loss 0.0450 (0.0279)	Prec@1 99.200 (99.698)
Epoch: [167][500/764]	Time 1.252 (1.293)	Loss 0.0261 (0.0286)	Prec@1 99.200 (99.680)
Epoch: [167][550/764]	Time 1.888 (1.355)	Loss 0.0172 (0.0288)	Prec@1 100.000 (99.680)
Epoch: [167][600/764]	Time 1.034 (1.357)	Loss 0.0166 (0.0296)	Prec@1 100.000 (99.667)
Epoch: [167][650/764]	Time 1.020 (1.351)	Loss 0.0228 (0.0300)	Prec@1 100.000 (99.668)
Epoch: [167][700/764]	Time 0.802 (1.340)	Loss 0.0163 (0.0302)	Prec@1 100.000 (99.680)
Epoch: [167][750/764]	Time 1.112 (1.335)	Loss 0.0163 (0.0296)	Prec@1 100.000 (99.696)
