Epoch: [226][50/764]	Time 0.675 (0.783)	Loss 0.0193 (0.0275)	Prec@1 100.000 (99.760)
Epoch: [226][100/764]	Time 0.678 (0.737)	Loss 0.0184 (0.0232)	Prec@1 100.000 (99.840)
Epoch: [226][150/764]	Time 0.682 (0.719)	Loss 0.0122 (0.0239)	Prec@1 100.000 (99.787)
Epoch: [226][200/764]	Time 0.923 (0.754)	Loss 0.0202 (0.0242)	Prec@1 100.000 (99.780)
Epoch: [226][250/764]	Time 0.685 (0.744)	Loss 0.0147 (0.0249)	Prec@1 100.000 (99.792)
Epoch: [226][300/764]	Time 0.679 (0.733)	Loss 0.0312 (0.0249)	Prec@1 100.000 (99.787)
Epoch: [226][350/764]	Time 0.805 (0.746)	Loss 0.0332 (0.0248)	Prec@1 100.000 (99.783)
Epoch: [226][400/764]	Time 0.678 (0.744)	Loss 0.0175 (0.0245)	Prec@1 100.000 (99.790)
Epoch: [226][450/764]	Time 0.760 (0.741)	Loss 0.0127 (0.0238)	Prec@1 100.000 (99.804)
Epoch: [226][500/764]	Time 0.678 (0.744)	Loss 0.0341 (0.0246)	Prec@1 99.200 (99.800)
Epoch: [226][550/764]	Time 0.676 (0.740)	Loss 0.0307 (0.0248)	Prec@1 100.000 (99.804)
Epoch: [226][600/764]	Time 0.681 (0.752)	Loss 0.0508 (0.0257)	Prec@1 99.200 (99.780)
Epoch: [226][650/764]	Time 0.676 (0.749)	Loss 0.0120 (0.0256)	Prec@1 100.000 (99.778)
Epoch: [226][700/764]	Time 0.683 (0.744)	Loss 0.0128 (0.0257)	Prec@1 100.000 (99.783)
Epoch: [226][750/764]	Time 0.670 (0.742)	Loss 0.0426 (0.0260)	Prec@1 99.200 (99.765)
