Epoch: [193][50/1194]	Time 2.774 (2.860)	Loss 0.0055 (0.0069)	Prec@1 100.000 (100.000)
Epoch: [193][100/1194]	Time 2.766 (2.812)	Loss 0.0071 (0.0125)	Prec@1 100.000 (99.938)
Epoch: [193][150/1194]	Time 2.765 (2.796)	Loss 0.0070 (0.0109)	Prec@1 100.000 (99.958)
Epoch: [193][200/1194]	Time 2.761 (2.789)	Loss 0.0093 (0.0100)	Prec@1 100.000 (99.969)
Epoch: [193][250/1194]	Time 2.768 (2.784)	Loss 0.0185 (0.0107)	Prec@1 100.000 (99.965)
Epoch: [193][300/1194]	Time 2.762 (2.781)	Loss 0.0073 (0.0112)	Prec@1 100.000 (99.950)
Epoch: [193][350/1194]	Time 2.758 (2.779)	Loss 0.0066 (0.0111)	Prec@1 100.000 (99.957)
Epoch: [193][400/1194]	Time 2.761 (2.777)	Loss 0.0065 (0.0106)	Prec@1 100.000 (99.963)
Epoch: [193][450/1194]	Time 2.763 (2.776)	Loss 0.0066 (0.0103)	Prec@1 100.000 (99.967)
Epoch: [193][500/1194]	Time 2.764 (2.775)	Loss 0.0057 (0.0102)	Prec@1 100.000 (99.970)
Epoch: [193][550/1194]	Time 2.770 (2.774)	Loss 0.0053 (0.0100)	Prec@1 100.000 (99.970)
Epoch: [193][600/1194]	Time 2.764 (2.774)	Loss 0.0046 (0.0097)	Prec@1 100.000 (99.973)
Epoch: [193][650/1194]	Time 2.769 (2.773)	Loss 0.0054 (0.0095)	Prec@1 100.000 (99.975)
Epoch: [193][700/1194]	Time 2.773 (2.773)	Loss 0.0164 (0.0095)	Prec@1 99.750 (99.975)
Epoch: [193][750/1194]	Time 2.763 (2.772)	Loss 0.0047 (0.0093)	Prec@1 100.000 (99.977)
Epoch: [193][800/1194]	Time 2.770 (2.772)	Loss 0.0113 (0.0093)	Prec@1 99.750 (99.977)
Epoch: [193][850/1194]	Time 2.764 (2.771)	Loss 0.0094 (0.0097)	Prec@1 100.000 (99.965)
Epoch: [193][900/1194]	Time 2.759 (2.771)	Loss 0.0269 (0.0098)	Prec@1 99.750 (99.964)
Epoch: [193][950/1194]	Time 2.766 (2.770)	Loss 0.0346 (0.0097)	Prec@1 99.750 (99.964)
Epoch: [193][1000/1194]	Time 2.773 (2.770)	Loss 0.0106 (0.0097)	Prec@1 100.000 (99.965)
Epoch: [193][1050/1194]	Time 2.764 (2.770)	Loss 0.0051 (0.0098)	Prec@1 100.000 (99.962)
Epoch: [193][1100/1194]	Time 2.761 (2.770)	Loss 0.0070 (0.0097)	Prec@1 100.000 (99.964)
Epoch: [193][1150/1194]	Time 2.770 (2.770)	Loss 0.0094 (0.0097)	Prec@1 100.000 (99.965)
