Epoch: [11][50/1194]	Time 2.812 (2.876)	Loss 0.2077 (0.2775)	Prec@1 98.500 (97.250)
Epoch: [11][100/1194]	Time 2.812 (2.845)	Loss 0.4122 (0.2997)	Prec@1 95.750 (97.100)
Epoch: [11][150/1194]	Time 2.810 (2.834)	Loss 0.2312 (0.2860)	Prec@1 98.750 (97.275)
Epoch: [11][200/1194]	Time 2.815 (2.829)	Loss 0.2942 (0.2765)	Prec@1 98.000 (97.450)
Epoch: [11][250/1194]	Time 2.812 (2.826)	Loss 0.2202 (0.2731)	Prec@1 98.250 (97.515)
Epoch: [11][300/1194]	Time 2.818 (2.824)	Loss 0.2839 (0.2745)	Prec@1 96.750 (97.463)
Epoch: [11][350/1194]	Time 2.810 (2.822)	Loss 0.2099 (0.2758)	Prec@1 98.750 (97.461)
Epoch: [11][400/1194]	Time 2.817 (2.821)	Loss 0.3580 (0.2755)	Prec@1 96.250 (97.441)
Epoch: [11][450/1194]	Time 2.816 (2.820)	Loss 0.2757 (0.2734)	Prec@1 97.500 (97.475)
Epoch: [11][500/1194]	Time 2.815 (2.820)	Loss 0.2618 (0.2743)	Prec@1 98.250 (97.433)
Epoch: [11][550/1194]	Time 2.815 (2.819)	Loss 0.2268 (0.2740)	Prec@1 98.250 (97.441)
Epoch: [11][600/1194]	Time 2.818 (2.819)	Loss 0.2157 (0.2742)	Prec@1 98.500 (97.454)
Epoch: [11][650/1194]	Time 2.814 (2.818)	Loss 0.3062 (0.2746)	Prec@1 97.000 (97.437)
Epoch: [11][700/1194]	Time 2.814 (2.818)	Loss 0.2188 (0.2741)	Prec@1 98.000 (97.450)
Epoch: [11][750/1194]	Time 2.810 (2.818)	Loss 0.2745 (0.2764)	Prec@1 96.250 (97.408)
Epoch: [11][800/1194]	Time 2.813 (2.818)	Loss 0.5691 (0.2802)	Prec@1 94.500 (97.348)
Epoch: [11][850/1194]	Time 2.809 (2.817)	Loss 0.3030 (0.2806)	Prec@1 96.750 (97.324)
Epoch: [11][900/1194]	Time 2.812 (2.817)	Loss 0.1735 (0.2797)	Prec@1 97.250 (97.310)
Epoch: [11][950/1194]	Time 2.812 (2.817)	Loss 0.2602 (0.2774)	Prec@1 98.250 (97.330)
Epoch: [11][1000/1194]	Time 2.814 (2.817)	Loss 0.1986 (0.2784)	Prec@1 98.500 (97.339)
Epoch: [11][1050/1194]	Time 2.810 (2.817)	Loss 0.1526 (0.2765)	Prec@1 99.000 (97.354)
Epoch: [11][1100/1194]	Time 2.817 (2.817)	Loss 0.1125 (0.2768)	Prec@1 99.750 (97.353)
Epoch: [11][1150/1194]	Time 2.817 (2.817)	Loss 0.3132 (0.2798)	Prec@1 96.750 (97.310)
