Epoch: [14][50/1194]	Time 2.826 (2.873)	Loss 0.2033 (0.2031)	Prec@1 98.250 (98.050)
Epoch: [14][100/1194]	Time 2.811 (2.843)	Loss 0.2089 (0.1995)	Prec@1 97.500 (98.050)
Epoch: [14][150/1194]	Time 2.814 (2.833)	Loss 0.2001 (0.1901)	Prec@1 98.000 (98.200)
Epoch: [14][200/1194]	Time 2.814 (2.828)	Loss 0.1634 (0.1799)	Prec@1 99.000 (98.375)
Epoch: [14][250/1194]	Time 2.812 (2.825)	Loss 0.2673 (0.1759)	Prec@1 96.250 (98.425)
Epoch: [14][300/1194]	Time 2.814 (2.823)	Loss 0.1335 (0.1713)	Prec@1 98.500 (98.463)
Epoch: [14][350/1194]	Time 2.810 (2.822)	Loss 0.2657 (0.1706)	Prec@1 97.000 (98.475)
Epoch: [14][400/1194]	Time 2.822 (2.821)	Loss 0.2281 (0.1718)	Prec@1 99.000 (98.522)
Epoch: [14][450/1194]	Time 2.823 (2.820)	Loss 0.2408 (0.1711)	Prec@1 97.250 (98.503)
Epoch: [14][500/1194]	Time 2.812 (2.819)	Loss 0.0753 (0.1717)	Prec@1 100.000 (98.487)
Epoch: [14][550/1194]	Time 2.812 (2.819)	Loss 0.1504 (0.1753)	Prec@1 99.000 (98.418)
Epoch: [14][600/1194]	Time 2.817 (2.819)	Loss 0.2646 (0.1733)	Prec@1 97.250 (98.454)
Epoch: [14][650/1194]	Time 2.813 (2.818)	Loss 0.1518 (0.1717)	Prec@1 98.750 (98.502)
Epoch: [14][700/1194]	Time 2.814 (2.818)	Loss 0.1568 (0.1725)	Prec@1 98.750 (98.479)
Epoch: [14][750/1194]	Time 2.813 (2.818)	Loss 0.1567 (0.1714)	Prec@1 98.000 (98.508)
Epoch: [14][800/1194]	Time 2.812 (2.817)	Loss 0.0739 (0.1694)	Prec@1 99.250 (98.530)
Epoch: [14][850/1194]	Time 2.812 (2.817)	Loss 0.1183 (0.1673)	Prec@1 99.000 (98.550)
Epoch: [14][900/1194]	Time 2.811 (2.817)	Loss 0.1487 (0.1663)	Prec@1 97.750 (98.554)
Epoch: [14][950/1194]	Time 2.812 (2.817)	Loss 0.1576 (0.1655)	Prec@1 99.000 (98.571)
Epoch: [14][1000/1194]	Time 2.811 (2.817)	Loss 0.2513 (0.1666)	Prec@1 98.250 (98.547)
Epoch: [14][1050/1194]	Time 2.812 (2.817)	Loss 0.1615 (0.1662)	Prec@1 99.000 (98.543)
Epoch: [14][1100/1194]	Time 2.813 (2.816)	Loss 0.2877 (0.1674)	Prec@1 98.750 (98.524)
Epoch: [14][1150/1194]	Time 2.814 (2.816)	Loss 0.2584 (0.1668)	Prec@1 97.000 (98.523)
