Epoch: [184][50/1194]	Time 2.767 (2.912)	Loss 0.0431 (0.0116)	Prec@1 99.500 (99.950)
Epoch: [184][100/1194]	Time 2.768 (2.840)	Loss 0.0050 (0.0097)	Prec@1 100.000 (99.975)
Epoch: [184][150/1194]	Time 2.761 (2.815)	Loss 0.0037 (0.0092)	Prec@1 100.000 (99.983)
Epoch: [184][200/1194]	Time 2.765 (2.803)	Loss 0.0070 (0.0083)	Prec@1 100.000 (99.987)
Epoch: [184][250/1194]	Time 2.777 (2.796)	Loss 0.0030 (0.0086)	Prec@1 100.000 (99.980)
Epoch: [184][300/1194]	Time 2.769 (2.791)	Loss 0.0037 (0.0084)	Prec@1 100.000 (99.983)
Epoch: [184][350/1194]	Time 2.760 (2.787)	Loss 0.0071 (0.0084)	Prec@1 100.000 (99.986)
Epoch: [184][400/1194]	Time 2.764 (2.785)	Loss 0.0053 (0.0082)	Prec@1 100.000 (99.987)
Epoch: [184][450/1194]	Time 2.769 (2.783)	Loss 0.0053 (0.0082)	Prec@1 100.000 (99.989)
Epoch: [184][500/1194]	Time 2.767 (2.781)	Loss 0.0086 (0.0081)	Prec@1 100.000 (99.990)
Epoch: [184][550/1194]	Time 2.767 (2.780)	Loss 0.0068 (0.0081)	Prec@1 100.000 (99.989)
Epoch: [184][600/1194]	Time 2.768 (2.778)	Loss 0.0057 (0.0082)	Prec@1 100.000 (99.990)
Epoch: [184][650/1194]	Time 2.771 (2.778)	Loss 0.0070 (0.0082)	Prec@1 100.000 (99.990)
Epoch: [184][700/1194]	Time 2.773 (2.777)	Loss 0.0060 (0.0082)	Prec@1 100.000 (99.989)
Epoch: [184][750/1194]	Time 2.779 (2.776)	Loss 0.0103 (0.0081)	Prec@1 100.000 (99.990)
Epoch: [184][800/1194]	Time 2.765 (2.776)	Loss 0.0037 (0.0081)	Prec@1 100.000 (99.991)
Epoch: [184][850/1194]	Time 2.761 (2.775)	Loss 0.0215 (0.0082)	Prec@1 100.000 (99.990)
Epoch: [184][900/1194]	Time 2.760 (2.774)	Loss 0.0071 (0.0082)	Prec@1 100.000 (99.990)
Epoch: [184][950/1194]	Time 2.765 (2.774)	Loss 0.0059 (0.0082)	Prec@1 100.000 (99.989)
Epoch: [184][1000/1194]	Time 2.762 (2.774)	Loss 0.0060 (0.0085)	Prec@1 100.000 (99.989)
Epoch: [184][1050/1194]	Time 2.763 (2.773)	Loss 0.0064 (0.0085)	Prec@1 100.000 (99.989)
Epoch: [184][1100/1194]	Time 2.771 (2.773)	Loss 0.0089 (0.0085)	Prec@1 100.000 (99.989)
Epoch: [184][1150/1194]	Time 2.764 (2.773)	Loss 0.0053 (0.0084)	Prec@1 100.000 (99.989)
