Epoch: [209][50/1194]	Time 2.748 (2.803)	Loss 0.0107 (0.0099)	Prec@1 100.000 (100.000)
Epoch: [209][100/1194]	Time 2.750 (2.775)	Loss 0.0121 (0.0096)	Prec@1 100.000 (99.975)
Epoch: [209][150/1194]	Time 2.748 (2.766)	Loss 0.0074 (0.0091)	Prec@1 100.000 (99.983)
Epoch: [209][200/1194]	Time 2.748 (2.761)	Loss 0.0110 (0.0090)	Prec@1 100.000 (99.987)
Epoch: [209][250/1194]	Time 2.751 (2.759)	Loss 0.0051 (0.0088)	Prec@1 100.000 (99.990)
Epoch: [209][300/1194]	Time 2.747 (2.757)	Loss 0.0044 (0.0089)	Prec@1 100.000 (99.992)
Epoch: [209][350/1194]	Time 2.750 (2.755)	Loss 0.0103 (0.0089)	Prec@1 100.000 (99.993)
Epoch: [209][400/1194]	Time 2.751 (2.754)	Loss 0.0052 (0.0086)	Prec@1 100.000 (99.994)
Epoch: [209][450/1194]	Time 2.747 (2.754)	Loss 0.0038 (0.0086)	Prec@1 100.000 (99.994)
Epoch: [209][500/1194]	Time 2.748 (2.753)	Loss 0.0046 (0.0084)	Prec@1 100.000 (99.995)
Epoch: [209][550/1194]	Time 2.743 (2.752)	Loss 0.0064 (0.0083)	Prec@1 100.000 (99.995)
Epoch: [209][600/1194]	Time 2.746 (2.752)	Loss 0.0056 (0.0083)	Prec@1 100.000 (99.996)
Epoch: [209][650/1194]	Time 2.748 (2.751)	Loss 0.0068 (0.0082)	Prec@1 100.000 (99.996)
Epoch: [209][700/1194]	Time 2.748 (2.751)	Loss 0.0069 (0.0082)	Prec@1 100.000 (99.993)
Epoch: [209][750/1194]	Time 2.749 (2.751)	Loss 0.0094 (0.0083)	Prec@1 100.000 (99.992)
Epoch: [209][800/1194]	Time 2.748 (2.751)	Loss 0.0050 (0.0083)	Prec@1 100.000 (99.992)
Epoch: [209][850/1194]	Time 2.749 (2.750)	Loss 0.0130 (0.0084)	Prec@1 100.000 (99.990)
Epoch: [209][900/1194]	Time 2.746 (2.750)	Loss 0.0101 (0.0087)	Prec@1 100.000 (99.983)
Epoch: [209][950/1194]	Time 2.748 (2.750)	Loss 0.0112 (0.0089)	Prec@1 100.000 (99.984)
Epoch: [209][1000/1194]	Time 2.747 (2.750)	Loss 0.0057 (0.0089)	Prec@1 100.000 (99.985)
Epoch: [209][1050/1194]	Time 2.745 (2.750)	Loss 0.0076 (0.0088)	Prec@1 100.000 (99.985)
Epoch: [209][1100/1194]	Time 2.746 (2.750)	Loss 0.0086 (0.0090)	Prec@1 100.000 (99.985)
Epoch: [209][1150/1194]	Time 2.750 (2.750)	Loss 0.0042 (0.0089)	Prec@1 100.000 (99.986)
