Epoch: [30][50/1194]	Time 2.822 (2.875)	Loss 0.0485 (0.0395)	Prec@1 99.500 (99.825)
Epoch: [30][100/1194]	Time 2.811 (2.844)	Loss 0.0101 (0.0362)	Prec@1 100.000 (99.850)
Epoch: [30][150/1194]	Time 2.812 (2.834)	Loss 0.0332 (0.0357)	Prec@1 99.750 (99.825)
Epoch: [30][200/1194]	Time 2.814 (2.828)	Loss 0.0129 (0.0352)	Prec@1 100.000 (99.844)
Epoch: [30][250/1194]	Time 2.815 (2.825)	Loss 0.0129 (0.0374)	Prec@1 100.000 (99.805)
Epoch: [30][300/1194]	Time 2.813 (2.824)	Loss 0.0331 (0.0389)	Prec@1 100.000 (99.779)
Epoch: [30][350/1194]	Time 2.810 (2.822)	Loss 0.0225 (0.0394)	Prec@1 100.000 (99.779)
Epoch: [30][400/1194]	Time 2.812 (2.821)	Loss 0.0617 (0.0411)	Prec@1 99.250 (99.784)
Epoch: [30][450/1194]	Time 2.813 (2.820)	Loss 0.1486 (0.0435)	Prec@1 97.750 (99.739)
Epoch: [30][500/1194]	Time 2.812 (2.819)	Loss 0.0335 (0.0439)	Prec@1 100.000 (99.743)
Epoch: [30][550/1194]	Time 2.813 (2.819)	Loss 0.1055 (0.0450)	Prec@1 99.000 (99.725)
Epoch: [30][600/1194]	Time 2.813 (2.818)	Loss 0.0238 (0.0444)	Prec@1 100.000 (99.729)
Epoch: [30][650/1194]	Time 2.816 (2.818)	Loss 0.0567 (0.0438)	Prec@1 100.000 (99.744)
Epoch: [30][700/1194]	Time 2.812 (2.818)	Loss 0.0227 (0.0434)	Prec@1 100.000 (99.746)
Epoch: [30][750/1194]	Time 2.819 (2.817)	Loss 0.0433 (0.0441)	Prec@1 100.000 (99.735)
Epoch: [30][800/1194]	Time 2.814 (2.817)	Loss 0.0395 (0.0440)	Prec@1 100.000 (99.744)
Epoch: [30][850/1194]	Time 2.811 (2.817)	Loss 0.0896 (0.0438)	Prec@1 99.000 (99.747)
Epoch: [30][900/1194]	Time 2.813 (2.817)	Loss 0.0123 (0.0443)	Prec@1 100.000 (99.742)
Epoch: [30][950/1194]	Time 2.811 (2.817)	Loss 0.0221 (0.0444)	Prec@1 100.000 (99.741)
Epoch: [30][1000/1194]	Time 2.813 (2.816)	Loss 0.0257 (0.0441)	Prec@1 100.000 (99.748)
Epoch: [30][1050/1194]	Time 2.812 (2.816)	Loss 0.0386 (0.0443)	Prec@1 100.000 (99.748)
Epoch: [30][1100/1194]	Time 2.812 (2.816)	Loss 0.0318 (0.0439)	Prec@1 100.000 (99.753)
Epoch: [30][1150/1194]	Time 2.818 (2.816)	Loss 0.0215 (0.0436)	Prec@1 100.000 (99.759)
