Epoch: [61][50/1194]	Time 2.753 (2.804)	Loss 0.0263 (0.0282)	Prec@1 100.000 (99.825)
Epoch: [61][100/1194]	Time 2.751 (2.777)	Loss 0.0366 (0.0237)	Prec@1 99.750 (99.850)
Epoch: [61][150/1194]	Time 2.751 (2.768)	Loss 0.0110 (0.0220)	Prec@1 100.000 (99.892)
Epoch: [61][200/1194]	Time 2.751 (2.764)	Loss 0.0118 (0.0218)	Prec@1 100.000 (99.888)
Epoch: [61][250/1194]	Time 2.753 (2.761)	Loss 0.0206 (0.0201)	Prec@1 100.000 (99.910)
Epoch: [61][300/1194]	Time 2.749 (2.759)	Loss 0.0088 (0.0195)	Prec@1 100.000 (99.921)
Epoch: [61][350/1194]	Time 2.752 (2.758)	Loss 0.0278 (0.0186)	Prec@1 99.750 (99.929)
Epoch: [61][400/1194]	Time 2.750 (2.756)	Loss 0.0087 (0.0184)	Prec@1 100.000 (99.931)
Epoch: [61][450/1194]	Time 2.750 (2.756)	Loss 0.0113 (0.0188)	Prec@1 100.000 (99.922)
Epoch: [61][500/1194]	Time 2.748 (2.755)	Loss 0.0308 (0.0190)	Prec@1 100.000 (99.922)
Epoch: [61][550/1194]	Time 2.748 (2.754)	Loss 0.0101 (0.0188)	Prec@1 100.000 (99.925)
Epoch: [61][600/1194]	Time 2.749 (2.754)	Loss 0.0156 (0.0193)	Prec@1 100.000 (99.917)
Epoch: [61][650/1194]	Time 2.748 (2.753)	Loss 0.0119 (0.0192)	Prec@1 100.000 (99.917)
Epoch: [61][700/1194]	Time 2.752 (2.753)	Loss 0.0204 (0.0194)	Prec@1 100.000 (99.912)
Epoch: [61][750/1194]	Time 2.748 (2.753)	Loss 0.0292 (0.0195)	Prec@1 99.750 (99.912)
Epoch: [61][800/1194]	Time 2.748 (2.753)	Loss 0.0606 (0.0197)	Prec@1 99.250 (99.911)
Epoch: [61][850/1194]	Time 2.751 (2.752)	Loss 0.0298 (0.0197)	Prec@1 100.000 (99.907)
Epoch: [61][900/1194]	Time 2.751 (2.752)	Loss 0.0125 (0.0196)	Prec@1 100.000 (99.908)
Epoch: [61][950/1194]	Time 2.747 (2.752)	Loss 0.0295 (0.0196)	Prec@1 99.500 (99.908)
Epoch: [61][1000/1194]	Time 2.747 (2.752)	Loss 0.0229 (0.0195)	Prec@1 99.250 (99.909)
Epoch: [61][1050/1194]	Time 2.750 (2.752)	Loss 0.0139 (0.0193)	Prec@1 100.000 (99.912)
Epoch: [61][1100/1194]	Time 2.749 (2.752)	Loss 0.0094 (0.0195)	Prec@1 100.000 (99.909)
Epoch: [61][1150/1194]	Time 2.746 (2.752)	Loss 0.0129 (0.0196)	Prec@1 100.000 (99.911)
