Epoch: [141][50/1194]	Time 2.753 (2.808)	Loss 0.0040 (0.0062)	Prec@1 100.000 (100.000)
Epoch: [141][100/1194]	Time 2.752 (2.779)	Loss 0.0118 (0.0070)	Prec@1 100.000 (99.987)
Epoch: [141][150/1194]	Time 2.752 (2.769)	Loss 0.0084 (0.0069)	Prec@1 100.000 (99.992)
Epoch: [141][200/1194]	Time 2.749 (2.764)	Loss 0.0090 (0.0074)	Prec@1 100.000 (99.994)
Epoch: [141][250/1194]	Time 2.748 (2.761)	Loss 0.0050 (0.0085)	Prec@1 100.000 (99.975)
Epoch: [141][300/1194]	Time 2.756 (2.760)	Loss 0.0110 (0.0088)	Prec@1 100.000 (99.971)
Epoch: [141][350/1194]	Time 2.751 (2.758)	Loss 0.0048 (0.0085)	Prec@1 100.000 (99.975)
Epoch: [141][400/1194]	Time 2.751 (2.757)	Loss 0.0049 (0.0083)	Prec@1 100.000 (99.978)
Epoch: [141][450/1194]	Time 2.747 (2.756)	Loss 0.0061 (0.0084)	Prec@1 100.000 (99.975)
Epoch: [141][500/1194]	Time 2.747 (2.756)	Loss 0.0079 (0.0083)	Prec@1 100.000 (99.978)
Epoch: [141][550/1194]	Time 2.753 (2.755)	Loss 0.0095 (0.0083)	Prec@1 100.000 (99.980)
Epoch: [141][600/1194]	Time 2.753 (2.755)	Loss 0.0090 (0.0083)	Prec@1 100.000 (99.981)
Epoch: [141][650/1194]	Time 2.751 (2.754)	Loss 0.0041 (0.0086)	Prec@1 100.000 (99.983)
Epoch: [141][700/1194]	Time 2.750 (2.754)	Loss 0.0134 (0.0085)	Prec@1 100.000 (99.984)
Epoch: [141][750/1194]	Time 2.748 (2.754)	Loss 0.0067 (0.0088)	Prec@1 100.000 (99.985)
Epoch: [141][800/1194]	Time 2.751 (2.754)	Loss 0.0095 (0.0093)	Prec@1 99.750 (99.978)
Epoch: [141][850/1194]	Time 2.748 (2.753)	Loss 0.0054 (0.0091)	Prec@1 100.000 (99.979)
Epoch: [141][900/1194]	Time 2.749 (2.753)	Loss 0.0087 (0.0090)	Prec@1 100.000 (99.981)
Epoch: [141][950/1194]	Time 2.753 (2.753)	Loss 0.0040 (0.0089)	Prec@1 100.000 (99.982)
Epoch: [141][1000/1194]	Time 2.733 (3.005)	Loss 0.0052 (0.0088)	Prec@1 100.000 (99.983)
Epoch: [141][1050/1194]	Time 2.751 (2.993)	Loss 0.0061 (0.0088)	Prec@1 100.000 (99.983)
Epoch: [141][1100/1194]	Time 2.749 (2.982)	Loss 0.0146 (0.0088)	Prec@1 100.000 (99.984)
Epoch: [141][1150/1194]	Time 2.747 (2.972)	Loss 0.0078 (0.0089)	Prec@1 100.000 (99.977)
