Epoch: [87][50/1194]	Time 2.749 (2.806)	Loss 0.0270 (0.0148)	Prec@1 99.750 (99.925)
Epoch: [87][100/1194]	Time 2.753 (2.778)	Loss 0.0087 (0.0125)	Prec@1 100.000 (99.938)
Epoch: [87][150/1194]	Time 2.750 (2.769)	Loss 0.0126 (0.0114)	Prec@1 100.000 (99.958)
Epoch: [87][200/1194]	Time 2.751 (2.764)	Loss 0.0102 (0.0109)	Prec@1 100.000 (99.969)
Epoch: [87][250/1194]	Time 2.751 (2.761)	Loss 0.0139 (0.0111)	Prec@1 100.000 (99.975)
Epoch: [87][300/1194]	Time 2.748 (2.759)	Loss 0.0053 (0.0112)	Prec@1 100.000 (99.975)
Epoch: [87][350/1194]	Time 2.748 (2.758)	Loss 0.0167 (0.0114)	Prec@1 100.000 (99.968)
Epoch: [87][400/1194]	Time 2.748 (2.757)	Loss 0.0077 (0.0115)	Prec@1 100.000 (99.972)
Epoch: [87][450/1194]	Time 2.746 (2.756)	Loss 0.0122 (0.0115)	Prec@1 100.000 (99.972)
Epoch: [87][500/1194]	Time 2.749 (2.755)	Loss 0.0254 (0.0116)	Prec@1 99.750 (99.972)
Epoch: [87][550/1194]	Time 2.747 (2.755)	Loss 0.0065 (0.0114)	Prec@1 100.000 (99.975)
Epoch: [87][600/1194]	Time 2.749 (2.754)	Loss 0.0071 (0.0114)	Prec@1 100.000 (99.973)
Epoch: [87][650/1194]	Time 2.749 (2.754)	Loss 0.0118 (0.0115)	Prec@1 100.000 (99.975)
Epoch: [87][700/1194]	Time 2.746 (2.753)	Loss 0.0295 (0.0116)	Prec@1 100.000 (99.973)
Epoch: [87][750/1194]	Time 2.751 (2.753)	Loss 0.0054 (0.0116)	Prec@1 100.000 (99.970)
Epoch: [87][800/1194]	Time 2.749 (2.753)	Loss 0.0045 (0.0115)	Prec@1 100.000 (99.969)
Epoch: [87][850/1194]	Time 2.746 (2.753)	Loss 0.0174 (0.0114)	Prec@1 99.750 (99.968)
Epoch: [87][900/1194]	Time 2.747 (2.753)	Loss 0.0152 (0.0117)	Prec@1 100.000 (99.967)
Epoch: [87][950/1194]	Time 2.753 (2.753)	Loss 0.0085 (0.0117)	Prec@1 100.000 (99.968)
Epoch: [87][1000/1194]	Time 2.745 (2.752)	Loss 0.0100 (0.0116)	Prec@1 100.000 (99.970)
Epoch: [87][1050/1194]	Time 2.752 (2.752)	Loss 0.0125 (0.0125)	Prec@1 100.000 (99.957)
Epoch: [87][1100/1194]	Time 2.750 (2.752)	Loss 0.0129 (0.0124)	Prec@1 100.000 (99.958)
Epoch: [87][1150/1194]	Time 2.748 (2.752)	Loss 0.0115 (0.0124)	Prec@1 100.000 (99.957)
