Epoch: [234][50/1194]	Time 2.747 (2.810)	Loss 0.0045 (0.0074)	Prec@1 100.000 (99.975)
Epoch: [234][100/1194]	Time 2.750 (2.779)	Loss 0.0059 (0.0080)	Prec@1 100.000 (99.987)
Epoch: [234][150/1194]	Time 2.750 (2.769)	Loss 0.0176 (0.0081)	Prec@1 100.000 (99.992)
Epoch: [234][200/1194]	Time 2.751 (2.765)	Loss 0.0168 (0.0085)	Prec@1 100.000 (99.994)
Epoch: [234][250/1194]	Time 2.746 (2.762)	Loss 0.0053 (0.0080)	Prec@1 100.000 (99.995)
Epoch: [234][300/1194]	Time 2.751 (2.760)	Loss 0.0050 (0.0082)	Prec@1 100.000 (99.987)
Epoch: [234][350/1194]	Time 2.750 (2.758)	Loss 0.0035 (0.0081)	Prec@1 100.000 (99.989)
Epoch: [234][400/1194]	Time 2.747 (2.757)	Loss 0.0055 (0.0080)	Prec@1 100.000 (99.991)
Epoch: [234][450/1194]	Time 2.752 (2.756)	Loss 0.0069 (0.0077)	Prec@1 100.000 (99.992)
Epoch: [234][500/1194]	Time 2.748 (2.756)	Loss 0.0068 (0.0077)	Prec@1 100.000 (99.993)
Epoch: [234][550/1194]	Time 2.747 (2.755)	Loss 0.0064 (0.0077)	Prec@1 100.000 (99.993)
Epoch: [234][600/1194]	Time 2.750 (2.755)	Loss 0.0117 (0.0076)	Prec@1 100.000 (99.994)
Epoch: [234][650/1194]	Time 2.752 (2.754)	Loss 0.0096 (0.0078)	Prec@1 100.000 (99.988)
Epoch: [234][700/1194]	Time 2.751 (2.754)	Loss 0.0050 (0.0081)	Prec@1 100.000 (99.986)
Epoch: [234][750/1194]	Time 2.754 (2.754)	Loss 0.0086 (0.0083)	Prec@1 100.000 (99.985)
Epoch: [234][800/1194]	Time 2.750 (2.753)	Loss 0.0049 (0.0083)	Prec@1 100.000 (99.986)
Epoch: [234][850/1194]	Time 2.750 (2.753)	Loss 0.0063 (0.0081)	Prec@1 100.000 (99.987)
Epoch: [234][900/1194]	Time 2.748 (2.753)	Loss 0.0045 (0.0081)	Prec@1 100.000 (99.987)
Epoch: [234][950/1194]	Time 2.749 (2.753)	Loss 0.0071 (0.0081)	Prec@1 100.000 (99.987)
Epoch: [234][1000/1194]	Time 2.751 (2.753)	Loss 0.0132 (0.0082)	Prec@1 100.000 (99.986)
Epoch: [234][1050/1194]	Time 2.750 (2.752)	Loss 0.0118 (0.0082)	Prec@1 100.000 (99.987)
Epoch: [234][1100/1194]	Time 2.749 (2.752)	Loss 0.0063 (0.0081)	Prec@1 100.000 (99.987)
Epoch: [234][1150/1194]	Time 2.747 (2.752)	Loss 0.0147 (0.0082)	Prec@1 100.000 (99.988)
